site,company,title,link
공식홈,워터(BEP),"모집중
전기차충전사업부문
사업개발(관리) - 시니어",https://bep.co.kr/Career/recruitment?type=3
공식홈,워터(BEP),"모집중
전기차충전사업부문
상시 채용 인재 POOL 등록",https://bep.co.kr/Career/recruitment?type=3
공식홈,워터(BEP),"모집중
전기차충전사업부문
프론트엔드 개발 - 주니어",https://bep.co.kr/Career/recruitment?type=3
공식홈,워터(BEP),"모집중
전기차충전사업부문
사업개발(영업) 팀장 - 시니어",https://bep.co.kr/Career/recruitment?type=3
공식홈,워터(BEP),사업개발(영업) 팀장 - 시니어,https://bep.co.kr/Career/recruitment?type=3
공식홈,워터(BEP),"모집중
전기차충전사업부문
QA - 주니어 또는 시니어",https://bep.co.kr/Career/recruitment?type=3
사람인,이브이시스(주),[EVSIS] 영업 경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52479775&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ce681807-bfc0-46c1-bf66-2227afad89d8
사람인,이브이시스(주),[EVSIS] 전략기획 신입사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52467747&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ce681807-bfc0-46c1-bf66-2227afad89d8
사람인,이브이시스(주),[EVSIS] 시설 관리 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52429363&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ce681807-bfc0-46c1-bf66-2227afad89d8
사람인,이브이시스(주),[EVSIS] 전기차 충전 C/S담당자(강원/원주) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52467515&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ce681807-bfc0-46c1-bf66-2227afad89d8
사람인,이브이시스(주),[EVSIS] C/S관리 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52440475&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=ce681807-bfc0-46c1-bf66-2227afad89d8
사람인,(주)플러그링크,전기차충전업 운영기획 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522773&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=f1ea6722-9f5a-4ccd-aa5a-02e6d804c253
사람인,(주)플러그링크,전기차충전업 서비스기획 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522456&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=f1ea6722-9f5a-4ccd-aa5a-02e6d804c253
사람인,(주)플러그링크,전기차충전업 시공 PM 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52456866&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=f1ea6722-9f5a-4ccd-aa5a-02e6d804c253
사람인,(주)플러그링크,전기차충전업 CX 매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522738&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=f1ea6722-9f5a-4ccd-aa5a-02e6d804c253
사람인,(주)플러그링크,전기차충전업 백엔드 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522463&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=f1ea6722-9f5a-4ccd-aa5a-02e6d804c253
사람인,(주)에버온,[전기차충전서비스기업 에버온] 정보보안 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52409006&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=25961fca-c934-4a5c-9706-9aae836b9920
사람인,(주)에버온,[전기차충전서비스기업 에버온] 데이터분석기획자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52468911&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=25961fca-c934-4a5c-9706-9aae836b9920
사람인,(주)에버온,[전기차충전서비스기업 에버온] 서비스기획운영자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52469100&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=25961fca-c934-4a5c-9706-9aae836b9920
