site,company,title,experience,link
공식홈,워터(BEP),"KR EN A Slightly  Better Today BEP 크루는 기업문화의 혁신이 기술적 혁신 못지않은 성과를 이끌어낼 수 있다는 강한 믿음을 가지고 모였습니다. BEP 크루는 어제보다 조금 더 나은 오늘 만들기에 집중합니다. 클라스가 다른 동료들과 함께 깨끗하고, 저렴하며, 안전한 전력시장을 만들어 가실 분, 지금 바로 BEP에 합류하세요. ALL 16 재생에너지사업부문8 재무투자부문1 전기차충전사업부문5 운영전략부문2",,https://bep.co.kr/Career/recruitment?type=3
공식홈,워터(BEP),,,https://bep.co.kr/Career/recruitment?type=3
사람인,이브이시스(주),[EVSIS] C/S관리 담당자 채용,경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52440475&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=26f93ddf-9cb8-4b35-9de3-9e2a7c22b338
사람인,이브이시스(주),[EVSIS] 영업 경력사원 채용,경력5↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52479775&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=26f93ddf-9cb8-4b35-9de3-9e2a7c22b338
사람인,이브이시스(주),[EVSIS] 전략기획 신입사원 채용,경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52467747&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=26f93ddf-9cb8-4b35-9de3-9e2a7c22b338
사람인,이브이시스(주),[EVSIS] 전기차 충전 C/S담당자(강원/원주) 채용,경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52467515&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=26f93ddf-9cb8-4b35-9de3-9e2a7c22b338
사람인,이브이시스(주),[EVSIS] 시설 관리 담당자 채용,경력5↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52429363&location=ts&searchword=%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%8B%9C%EC%8A%A4&searchType=search&paid_fl=n&search_uuid=26f93ddf-9cb8-4b35-9de3-9e2a7c22b338
사람인,(주)플러그링크,전기차충전업 서비스기획 매니저,경력10↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522456&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=78e40e1b-1dfe-420b-a366-e5389ede3bb5
사람인,(주)플러그링크,전기차충전업 백엔드 엔지니어,경력8↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522463&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=78e40e1b-1dfe-420b-a366-e5389ede3bb5
사람인,(주)플러그링크,전기차충전업 운영기획 매니저,경력7↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522773&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=78e40e1b-1dfe-420b-a366-e5389ede3bb5
사람인,(주)플러그링크,전기차충전업 CX 매니저,경력7↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52522738&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=78e40e1b-1dfe-420b-a366-e5389ede3bb5
사람인,(주)플러그링크,전기차충전업 시공 PM 매니저,신입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52456866&location=ts&searchword=%ED%94%8C%EB%9F%AC%EA%B7%B8%EB%A7%81%ED%81%AC&searchType=search&paid_fl=n&search_uuid=78e40e1b-1dfe-420b-a366-e5389ede3bb5
사람인,(주)에버온,[전기차충전서비스기업 에버온] 서비스기획운영자 채용,경력10↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52469100&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=7b7e787a-42ee-4f5b-bb3b-c1176a0276cd
사람인,(주)에버온,[전기차충전서비스기업 에버온] 정보보안 담당자 채용,경력5↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52409006&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=7b7e787a-42ee-4f5b-bb3b-c1176a0276cd
사람인,(주)에버온,[전기차충전서비스기업 에버온] 데이터분석기획자 채용,경력10↑,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52468911&location=ts&searchword=%EC%97%90%EB%B2%84%EC%98%A8&searchType=search&paid_fl=n&search_uuid=7b7e787a-42ee-4f5b-bb3b-c1176a0276cd
